player,round,hole,strokes,par,yds,score
"Grandi, Tommaso",1,1,4,5,153,-1
"Grandi, Tommaso",1,2,4,4,164,0
"Grandi, Tommaso",1,3,5,4,202,1
"Grandi, Tommaso",1,4,4,4,174,0
"Grandi, Tommaso",1,5,3,3,99,0
"Grandi, Tommaso",1,6,4,4,137,0
"Grandi, Tommaso",1,7,3,3,89,0
"Grandi, Tommaso",1,8,4,3,76,1
"Grandi, Tommaso",1,9,1,5,167,-4
"Grandi, Tommaso",1,10,6,4,198,2
"Grandi, Tommaso",1,11,3,4,178,-1
"Grandi, Tommaso",1,12,5,5,216,0
"Grandi, Tommaso",1,13,3,4,273,-1
"Grandi, Tommaso",1,14,3,4,193,-1
"Grandi, Tommaso",1,15,3,4,181,-1
"Grandi, Tommaso",1,16,5,4,165,1
"Grandi, Tommaso",1,17,3,4,175,-1
"Grandi, Tommaso",1,18,5,3,64,2
"Fabien, Helbois",1,1,5,5,153,0
"Fabien, Helbois",1,2,3,4,164,-1
"Fabien, Helbois",1,3,4,4,202,0
"Fabien, Helbois",1,4,4,4,174,0
"Fabien, Helbois",1,5,3,3,99,0
"Fabien, Helbois",1,6,4,4,137,0
"Fabien, Helbois",1,7,4,3,89,1
"Fabien, Helbois",1,8,3,3,76,0
"Fabien, Helbois",1,9,4,5,167,-1
"Fabien, Helbois",1,10,4,4,198,0
"Fabien, Helbois",1,11,4,4,178,0
"Fabien, Helbois",1,12,5,5,216,0
"Fabien, Helbois",1,13,3,4,273,-1
"Fabien, Helbois",1,14,4,4,193,0
"Fabien, Helbois",1,15,4,4,181,0
"Fabien, Helbois",1,16,4,4,165,0
"Fabien, Helbois",1,17,3,4,175,-1
"Fabien, Helbois",1,18,3,3,64,0
"Perrone, Matias",1,1,3,5,153,-2
"Perrone, Matias",1,2,4,4,164,0
"Perrone, Matias",1,3,5,4,202,1
"Perrone, Matias",1,4,5,4,174,1
"Perrone, Matias",1,5,3,3,99,0
"Perrone, Matias",1,6,3,4,137,-1
"Perrone, Matias",1,7,3,3,89,0
"Perrone, Matias",1,8,4,3,76,1
"Perrone, Matias",1,9,3,5,167,-2
"Perrone, Matias",1,10,4,4,198,0
"Perrone, Matias",1,11,2,4,178,-2
"Perrone, Matias",1,12,7,5,216,2
"Perrone, Matias",1,13,3,4,273,-1
"Perrone, Matias",1,14,4,4,193,0
"Perrone, Matias",1,15,2,4,181,-2
"Perrone, Matias",1,16,4,4,165,0
"Perrone, Matias",1,17,3,4,175,-1
"Perrone, Matias",1,18,5,3,64,2
"Anthony, ARNAUD",1,1,5,5,153,0
"Anthony, ARNAUD",1,2,4,4,164,0
"Anthony, ARNAUD",1,3,4,4,202,0
"Anthony, ARNAUD",1,4,4,4,174,0
"Anthony, ARNAUD",1,5,2,3,99,-1
"Anthony, ARNAUD",1,6,4,4,137,0
"Anthony, ARNAUD",1,7,3,3,89,0
"Anthony, ARNAUD",1,8,3,3,76,0
"Anthony, ARNAUD",1,9,4,5,167,-1
"Anthony, ARNAUD",1,10,3,4,198,-1
"Anthony, ARNAUD",1,11,4,4,178,0
"Anthony, ARNAUD",1,12,5,5,216,0
"Anthony, ARNAUD",1,13,3,4,273,-1
"Anthony, ARNAUD",1,14,4,4,193,0
"Anthony, ARNAUD",1,15,4,4,181,0
"Anthony, ARNAUD",1,16,3,4,165,-1
"Anthony, ARNAUD",1,17,4,4,175,0
"Anthony, ARNAUD",1,18,3,3,64,0
"TRAVAILLEUR, Bruno",1,1,5,5,153,0
"TRAVAILLEUR, Bruno",1,2,4,4,164,0
"TRAVAILLEUR, Bruno",1,3,3,4,202,-1
"TRAVAILLEUR, Bruno",1,4,4,4,174,0
"TRAVAILLEUR, Bruno",1,5,3,3,99,0
"TRAVAILLEUR, Bruno",1,6,4,4,137,0
"TRAVAILLEUR, Bruno",1,7,4,3,89,1
"TRAVAILLEUR, Bruno",1,8,3,3,76,0
"TRAVAILLEUR, Bruno",1,9,4,5,167,-1
"TRAVAILLEUR, Bruno",1,10,2,4,198,-2
"TRAVAILLEUR, Bruno",1,11,5,4,178,1
"TRAVAILLEUR, Bruno",1,12,5,5,216,0
"TRAVAILLEUR, Bruno",1,13,4,4,273,0
"TRAVAILLEUR, Bruno",1,14,5,4,193,1
"TRAVAILLEUR, Bruno",1,15,4,4,181,0
"TRAVAILLEUR, Bruno",1,16,4,4,165,0
"TRAVAILLEUR, Bruno",1,17,4,4,175,0
"TRAVAILLEUR, Bruno",1,18,5,3,64,2
"Morgan, Matthew",1,1,4,5,153,-1
"Morgan, Matthew",1,2,4,4,164,0
"Morgan, Matthew",1,3,4,4,202,0
"Morgan, Matthew",1,4,4,4,174,0
"Morgan, Matthew",1,5,2,3,99,-1
"Morgan, Matthew",1,6,5,4,137,1
"Morgan, Matthew",1,7,4,3,89,1
"Morgan, Matthew",1,8,3,3,76,0
"Morgan, Matthew",1,9,4,5,167,-1
"Morgan, Matthew",1,10,4,4,198,0
"Morgan, Matthew",1,11,2,4,178,-2
"Morgan, Matthew",1,12,5,5,216,0
"Morgan, Matthew",1,13,3,4,273,-1
"Morgan, Matthew",1,14,4,4,193,0
"Morgan, Matthew",1,15,4,4,181,0
"Morgan, Matthew",1,16,4,4,165,0
"Morgan, Matthew",1,17,3,4,175,-1
"Morgan, Matthew",1,18,4,3,64,1
"Damien, CYTWINSKI",1,1,4,5,153,-1
"Damien, CYTWINSKI",1,2,5,4,164,1
"Damien, CYTWINSKI",1,3,5,4,202,1
"Damien, CYTWINSKI",1,4,4,4,174,0
"Damien, CYTWINSKI",1,5,5,3,99,2
"Damien, CYTWINSKI",1,6,5,4,137,1
"Damien, CYTWINSKI",1,7,3,3,89,0
"Damien, CYTWINSKI",1,8,4,3,76,1
"Damien, CYTWINSKI",1,9,2,5,167,-3
"Damien, CYTWINSKI",1,10,5,4,198,1
"Damien, CYTWINSKI",1,11,2,4,178,-2
"Damien, CYTWINSKI",1,12,6,5,216,1
"Damien, CYTWINSKI",1,13,3,4,273,-1
"Damien, CYTWINSKI",1,14,5,4,193,1
"Damien, CYTWINSKI",1,15,2,4,181,-2
"Damien, CYTWINSKI",1,16,4,4,165,0
"Damien, CYTWINSKI",1,17,3,4,175,-1
"Damien, CYTWINSKI",1,18,5,3,64,2
